respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12601374281,402650228,2021-04-23 20:30:01,2021-04-23 20:49:03,190.121.138.237,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Clase de lenguaje: El profe nos enseñó la idea que da vueltas de Gabriel García Marqués y esa historia me encantó mucho por qué estuvimos  participando mucho  y me gustó la manera en que el profe narro la historia y asta mi mamá  estába viendo la clase y le encantó  ,Una narrativa fascinante,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,0,100,Felicidad,Rara vez,Ninguna de las anteriores,6,11 a 13 años,Bachiller,Mujer
12600685684,402650228,2021-04-23 14:14:27,2021-04-23 14:18:00,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Megusta aprender algo nuevo,Megusta el estudio,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,8,11,Felicidad,No se,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Mujer
12600211827,402650228,2021-04-23 11:11:23,2021-04-23 11:25:30,181.52.248.144,,,,,No,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Pase más tiempo con mi familia ,Nada,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,100,88,Angustia/Miedo,No se,El trabajo en equipo,6,11 a 13 años,Bachiller,Hombre
12600178805,402650228,2021-04-23 11:03:11,2021-04-23 11:14:42,181.60.114.13,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Me paso que no sabia dividir y me dio curiosidad ,Aprenderdivision,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,2,6,100,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,6,11 a 13 años,Técnico,Hombre
12600103583,402650228,2021-04-23 10:42:33,2021-04-23 10:50:49,181.129.173.146,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,"Interacción con nuestra docente, hicimos actividades diferentes para darle una mejor acción a nuestras clases ",#Aprendiendocosasnuevas,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,50,50,Felicidad,Una vez,La forma cómo los profesores enseñan,5,11 a 13 años,Bachiller,Mujer
12600081445,402650228,2021-04-23 10:29:36,2021-04-23 10:43:49,204.199.90.207,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Me gustaría volver al colegio para seguir Adelante en mi desarrollo como alumno y así poder compartir con mis compañeros por que el colegio es una gran parte fundamental para el desarrollo y crecimimeto ,Si,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,64,51,67,Esperanza,Rara vez,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Hombre
12600075473,402650228,2021-04-23 10:00:54,2021-04-23 10:42:27,201.219.246.67,,,,,No,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,pre sen cial por que el profesor o profesora es plicaba bien pero aora birtual uno se con funde con las guias y los lines,clases presen siales con seguridad ,Aprendí algo nuevo,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Esperanza,Todo el tiempo,Cómo resolver conflictos,,,,
12600036666,402650228,2021-04-23 10:10:20,2021-04-23 10:34:46,201.219.246.67,,,,,Sí,AMAZONAS,Santa Teresita,te enseñó algo nuevo,,,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,3,2,12,Felicidad,Todo el tiempo,La forma cómo los profesores enseñan,6,11 a 13 años,Universitario,Hombre
12600014109,402650228,2021-04-23 09:53:03,2021-04-23 10:22:47,190.121.139.4,,,,,No,VALLE DEL CAUCA,Santa Teresita,te confundió,voy a hablar  de una clase  de matemática la cual  jugamos    en la   mos uan juegos   llamado  quiziz  que se  trataba de  sumar restar multiplicar y dividir números decimales y me gusto por que   haci aprendí a  multiplicar  sumar restar  y dividir con numeros decimales      ,juego de matemáticas  quizi,Me dio curiosidad por saber más,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,0,0,100,Felicidad,No se,Lo que hago en mi tiempo libre,5,11 a 13 años,No se,Mujer
12600012940,402650228,2021-04-23 10:10:00,2021-04-23 10:26:24,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,me enseño momentos agradables con mis compañeros,buena compañía,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,85,19,100,Felicidad,Rara vez,Relación con los compañeros,5,8 a 10 años,Bachiller,Hombre
