respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Responde una de estas tres preguntas, la que prefieras responder:1. Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar sobre tu futuro.2. Cuéntanos una situación que haya sucedido en tu institución educativa que te haya impactado particularmente positiva o negativamente.3. Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar en que cosas se pueden mejorar en tu institución.Describe la situación, y lo que pasó.Comparte tu experiencia / tu ejemplo aquí:",La historia que contaste te genera...,¿Con que frecuencia sucede tu historia? ,¿Con que temas esta relacionada tu historia? ,Mi experiencia produjo...,"Pensando en la experiencia que compartí, me enfoqué en:",En mi experiencia los estudiantes aprenden a través de...,Mi foco estuvo en cultivar en los estudiantes…,Los estudiantes aprenden a través de: ,Las decisiones fueron influenciadas por…,Mi papel como maestro fue ,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes se les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,Tipo de Institución,En que trayectoria enseña,Género,Edad,Nivel Educativo
12524116742,402064447,2021-03-25 17:52:04,2021-03-25 18:04:33,181.234.162.79,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,"3con la emergencia se restableció el puente de comunicación de comunidad educativa con los padres ,la cual se ha venido deteriorando por los roles de trabajo que cumplen lis padres y madres de familia que por esta razón han tenido que dejar la crianza y educación  de sus hijos en manos de terceros, que en poca o gran medida  se preocupan por asistir a las reuniones citadas por el colegio.Con la emergencia en medio de lo feo de la pandemia se dio algo muy lindo que fue la reunión de las familias en casa debido al encierro. Muchas familias se sintieron felices compartiendo tareas escolares y quehaceres de la casa, generando un verdadero ambiente familiar.wue a su vez generó nuevamente ese acercamiento de escuela y hogar, produciendo cambios muy positivos en el rendimiento escolar.",Motivación,Con frecuencia,Mi relación con los padres de familia,Resultados positivos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Buenas bases para la compresión de futuros aprendizajes,Reflexionar y comprender,Maestros y rectores,Abrir nuevos mundos para los estudiantes,6,15,12,Oficial,Básica Secundaria,Mujer,50 a 59 años,Licenciado
12523578098,402064447,2021-03-25 14:35:52,2021-03-25 14:39:49,181.129.241.19,,,,,Sí,VALLE DEL CAUCA,Isaias,La verdad es que soy nueva vivía en miranda cauca,Motivación,Casi nunca,Creatividad e Innovación,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Experimentar y crear,Habilidades prácticas para la vida para una futura empleabilidad,Aplicar lo aprendido en cosas concretas,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,94,100,89,,,,,
12523382222,402064447,2021-03-25 13:17:56,2021-03-25 13:35:06,190.66.68.183,,,,,No,VALLE DEL CAUCA,Isaías Gamboa,"2. Tuve la fortuna de llegar a la Institución Educativa Isaías Gamboa desde su inicio como institución de bachillerato. Me impactó  al llegar, los pocos recursos materiales con los cuales se contaba y la cantidad y calidad de docentes que en esa oportunidad llegamos a ese lugar: eran sólo tres sedes de primaria o escuelas de primaria ",Motivación,De vez en cuando,Trabajo en equipo,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Experimentar y crear,Habilidades prácticas para la vida para una futura empleabilidad,Aplicar lo aprendido en cosas concretas,Maestros y rectores,Abrir nuevos mundos para los estudiantes,50,50,51,Oficial,Básica Secundaria,Mujer,60 a 69 años,Licenciado
12523377167,402064447,2021-03-25 13:20:57,2021-03-25 13:33:45,186.144.0.231,,,,,Sí,VALLE DEL CAUCA,Isaias Gamboa,"En la cancha de los estudiantes, hace falta retener un pequeño barranco, que está situado en la cancha de micro futbol al aire libre que usan los niños para jugar y en sus clases de edufisica. en dos oportunidades se han caido los niños practicando su deporte y se han fracturado. Me parece muy importante arreglarles la cancha y el seguro de salud de los estudiantes es muy deficiente, pues en estos casos no han querido atenderlos en varias clinicas de la ciudad.",Impotencia,De vez en cuando,Mi relación con los estudiantes,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Estudiantes y padres,Dar soporte emocional a los estudiantes,50,50,50,Oficial,Básica Secundaria,Mujer,50 a 59 años,Licenciado
12523376563,402064447,2021-03-25 13:16:40,2021-03-25 13:32:56,181.143.231.138,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,"2. El año pasado me enferme por que mí asignación académica fue de 18 grupos, por lo cual me tocó atender más de 500 estudiantes. Por lo tanto hice una carta a la rectora para que revisara la distribución de la carga académica por que hay docentes que sólo tenían 5 grupos. La señora rectora respondió que quién no estuviera de acuerdo con la asignación pasara la carta para liberación.como éste año me tocó 14 grupos más de 450 estudiantes, le pase la carta pidiendo que me liberara porque no estaba dé acuerdo y la rectora no me acepto y ésto ha causado un impacto muy negativo en mi vida laboral y emocional",Impotencia,Con frecuencia,Mi relación con los estudiantes,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Aplicar lo aprendido,Habilidades prácticas para la vida para una futura empleabilidad,Aplicar lo aprendido en cosas concretas,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,60,56,38,Oficial,Básica Secundaria,Hombre,50 a 59 años,Magister
12523370931,402064447,2021-03-25 13:17:21,2021-03-25 13:42:40,181.56.151.14,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,"2. Yo soy una docente que me encanta participar en actividades escolares y extraescolares. Una vez había una invitación para participar en los juegos interculturales, una vez terminada las actividades entregaron un equipo que yo había pedido para mis clases de danzas ya que el que había lo utilizaban en la sala de sistema. Yo nunca pude disfrutar de ese premio con mis estudiantes. Eso me ha desmotivado mucho ya que la sede generalmente no tiene aparatos tecnológicos para trabajar",Tristeza,De vez en cuando,Trabajo en equipo,Resultados positivos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Habilidades prácticas para la vida para una futura empleabilidad,Experimentar y crear,Maestros y rectores,Abrir nuevos mundos para los estudiantes,12,12,89,Oficial,Básica Primaria,Mujer,40 a 49 años,Licenciado
12523367430,402064447,2021-03-25 13:14:36,2021-03-25 13:30:26,191.106.151.166,,,,,Sí,VALLE DEL CAUCA,I.E. ISAIAS  GAMBOA,"RESPUESTAS. 1.     CAMBIO DE ACTITUD A LA HORA DE ABORDAR TEMAS CON LOS CHICOS, YA QUE SON NIÑOS QUE REQUIEREN MAYOR ATENCION.  Y SON MUY ACTIVOS, SON PARTICIPATIVOS",Motivación,Con frecuencia,Creatividad e Innovación,Resultados interesantes,El cumplimiento del plan de estudios,Reflexionar y comprender,Habilidades prácticas para la vida para una futura empleabilidad,Reflexionar y comprender,Maestros y rectores,Ayudar a estudiantes a alcanzar sus objetivos,51,70,84,Oficial,Básica Secundaria,Mujer,50 a 59 años,Licenciado
12523362347,402064447,2021-03-25 13:16:35,2021-03-25 13:28:36,190.1.248.2,,,,,Sí,VALLE DEL CAUCA,Isaías gamboa,"3. En la hora de recreo, un estudiante de grado 7° se fracturo el antebrazo, se le reporto la situación al coordinador, se activó la ruta de atención, se llamó la ambulancia y después de media hora no llego la ambulancia, uno de los compañeros docente decidió llevar el estudiante en el carro a la clínica de atención. Me hizo pensar que este tipo de situaciones se presentan con frecuencia, y la respuesta por parte del sistema de atención es lento.",Tristeza,De vez en cuando,Trabajo en equipo,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Experimentar y crear,Buenas bases para la compresión de futuros aprendizajes,Experimentar y crear,Maestros y rectores,Abrir nuevos mundos para los estudiantes,1,60,70,Oficial,Básica Secundaria,Hombre,40 a 49 años,Magister
12523359966,402064447,2021-03-25 13:16:41,2021-03-25 13:28:16,181.62.53.242,,,,,Sí,VALLE DEL CAUCA,I.E. ISAIAS GAMBOA,"LA CUARENTENA EN AÑO PASADO, ME PERMITIÓ REPLANTEARME LA FORMA COMO ESTOY ENSEÑANDO MI ASIGNATURA. ME HIZO BUSCAR LA MANERA DE REFRESCAR MI METODOLOGÍA Y MIRAR LAS FORMAS TECNOLÓGICAS PARA IMPLEMENTARLAS EN MI QUEHACER PROFESIONAL",Motivación,Casi nunca,Tecnologías y herramientas digitales,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Experimentar y crear,Comprensión del mundo que los rodea,Experimentar y crear,Maestros y rectores,Abrir nuevos mundos para los estudiantes,83,50,11,Oficial,En más de una,Mujer,50 a 59 años,Licenciado
12523359663,402064447,2021-03-25 13:17:23,2021-03-25 13:51:51,186.81.37.170,,,,,Sí,VALLE DEL CAUCA,Isaias Gamboa,Encontré que uno de mis estudiantes estaba consumiendo sustancias sicoactivas. Como un estudiante me avisó que ese compañero tenia marihuana en su maletín procedí a requisarlo en presencia del coordinador. Entonces pensé que para el futuro debería prepararme para orientar a estos jóvenes con problema de adicción.,Motivación,De vez en cuando,Mi relación con los estudiantes,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Estudiantes y padres,Dar soporte emocional a los estudiantes,83,11,12,Oficial,Básica Secundaria,Hombre,60 a 69 años,Licenciado
12523302710,402064447,2021-03-25 12:56:35,2021-03-25 13:09:23,181.62.54.26,,,,,Sí,VALLE DEL CAUCA,I.E Isaías Gamboa,"Cuando llegue a la institución evidencie que muchos estudiantes eran apáticos frente a actividades de clase como exponer, participar, jugar. Entonces empecé a trabajar con ellos en su autoestima y reconocimiento de sí mismos, logrando que mejorara significativamente su desempeño y su vida. ",Orgullo/Satisfacción,Con frecuencia,Liderazgo,Resultados positivos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Estudiantes y padres,Dar soporte emocional a los estudiantes,53,54,60,Oficial,Básica Secundaria,Mujer,40 a 49 años,Licenciado
12522661300,402064447,2021-03-25 09:55:22,2021-03-25 10:00:45,161.18.13.75,,,,,Sí,VALLE DEL CAUCA,Santa Librada,Los niños que son atendidos por las fundaciones debido al abandono de los progenitores ,Motivación,De vez en cuando,Mi aporte a la humanidad y al mundo,Resultados interesantes,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Experimentar y crear,Maestros y rectores,Abrir nuevos mundos para los estudiantes,50,50,50,Oficial,Básica Secundaria,Hombre,40 a 49 años,Licenciado
12522454371,402064447,2021-03-25 08:16:04,2021-03-25 09:01:40,190.1.204.31,,,,,Sí,VALLE DEL CAUCA,Institución Educativa Isaías Gamboa.,"Pregunta 2: Sucedió en aquel tiempo, cuando yo era docente de Secundaria , en aquellos conversatorios de ética, Religión y emprendimiento con los estudiantes,  y concretamente  en un taller de prevención del consumo de sustancias psicoactivas,  y educación para la Sexualidad,  al tocar este tema, de la prevención del abuso sexual , y preguntar si conocen casos sobre el tema, se produjo un silencio absoluto, en el grupo, se notaban algunas  estudiantes muy pensativas, tres de ellas, llenaron la actividad de clase sin colocar su nombre, y  se dirigieron hacia mi , para pedirme un espacio de  diálogo personal, el cual  concerté con ellas. En ese dialogo las escuche y me generó mucha preocupación escuchar sus gritos de dolor , con situaciones familiares de drogadicción y   abuso sexual, donde o no podía ayudar  a esos corazones heridos y con deseos de borrar ese pasado aterrador, donde todos sabemos que es un sector de una violencia, que es mejor no tocar, . Esos días siguientes me sentí tan impotente, tan triste, y mis pensamientos me llevaron a aquel momento en la universidad, donde me enseñaron que  el docente tiene la misión ética de solucionar esos conflictos emocionales de sus estudiantes, y  allí pensaba, como   hacerlo si son situaciones de peligro donde podemos perder  nuestra vida y quedamos limitados, como maestros,    conocer las situaciones conflictivas emocionales de un estudiante que confía en que el docente le dará soluciones de vida, para tratar de ser feliz, y es en este  momento, cuando nos cuestionamos como docentes, ¿Qué puedo hacer desde lo socio-emocional para a mis estudiantes poder ayudar? Estas historias quedaron en mi mente y  en mi quehacer , como un llamado urgente de nuestros estudiantes, para orientar nuestra educación desde el Ser,  y la importancia de reconocer que el estado emocional de nuestros estudiantes, su sentir, es super importante , para poder lograr un buen proceso de aprendizaje. Aunque este aprendizaje y experiencia, quedaron en mi mente, con cierta preocupación,   me ubicaron en la básica primaria y e desconecté de esas situaciones famiilares tristes  y    nunca volvi a saber de mis queridas estudiantes , que confiaron en mi orientación. Cómo docente me siento en deuda... ",Motivación,De vez en cuando,Mi relación con los estudiantes,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Maestros y rectores,Dar soporte emocional a los estudiantes,51,56,22,Oficial,Básica Primaria,Mujer,50 a 59 años,Licenciado
12522390097,402064447,2021-03-25 08:15:39,2021-03-25 08:43:08,181.50.102.139,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,"Recién llegada a la institución, me impactó muchísimo el rechazo marcado de parte de los estudiantes a las manifestaciones afectivas, se enojaban, empujaban y me decían que no los abrazaran o besaran porque no les gustaba, aunque ahora  a disminuido un poco, aún se observa en un número considerable de estudiantes, Se les observa rechazo al contacto físico. Desde luego ahora con tantos casos difíciles se les explica que es importante que lo tengan presente con desconocidos y se a trabajado con ellos formas de identificar muestras negativas de afecto ",Tristeza,Con frecuencia,Mi relación con los estudiantes,Resultados positivos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Maestros y rectores,Dar soporte emocional a los estudiantes,55,25,49,Oficial,Básica Primaria,Mujer,50 a 59 años,Magister
12522243496,402064447,2021-03-25 07:38:04,2021-03-25 07:59:41,186.81.100.57,,,,,Sí,VALLE DEL CAUCA,Isaias Gamboa,la falta de interes de la comunidad frente a las responsabilidad,Motivación,Con frecuencia,Mi relación con los padres de familia,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Experimentar y crear,Comprensión del mundo que los rodea,Experimentar y crear,Estudiantes y padres,Dar soporte emocional a los estudiantes,0,0,0,Oficial,Básica Primaria,Mujer,60 a 69 años,Especialista
12522232100,402064447,2021-03-25 06:23:02,2021-03-25 13:30:42,181.62.53.218,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,Prueballn,Motivación,Con frecuencia,Tecnologías y herramientas digitales,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Reflexionar y comprender,Buenas bases para la compresión de futuros aprendizajes,Reflexionar y comprender,La IE y la secretaría,Ayudar a estudiantes a alcanzar sus objetivos,53,59,55,,,,,
